name,score,email
Ryan Martin2485,200,martin40@gmail.com
William Conway804,553,rmoody@yahoo.com
Samantha Evans3603,101,cowanteresa@yahoo.com
Claudia Dunn7395,136,qhernandez@hotmail.com
Rodney Reyes6916,761,kyle62@hotmail.com
Joseph Johnson1492,519,ybrown@gmail.com
Andre Brown2582,882,jenniferfloyd@hotmail.com
Tyler Olsen6239,137,xleon@hotmail.com
Kyle Roberts3719,793,jdavis@gmail.com
Kathy Strong6520,133,samantha23@gmail.com
Mr. Alan Martinez93,605,ariana36@yahoo.com
Janice Yoder1146,338,joshuabaxter@hotmail.com
Cynthia Smith5663,885,tmason@gmail.com
Andrew Black2436,838,tamaragomez@yahoo.com
Kimberly Alexander947,781,tammyobrien@yahoo.com
James Lucas4097,863,gabriellemorgan@hotmail.com
Jacob Henderson6149,170,samantha70@hotmail.com
Benjamin Bolton4331,337,eharris@yahoo.com
Rhonda Mason6436,645,ramirezmadison@yahoo.com
Kristy Morales5501,711,iduffy@gmail.com
Ryan Cain6549,587,zcampbell@yahoo.com
Whitney Branch2655,846,burkealexander@gmail.com
Cynthia Todd5070,305,theresa24@yahoo.com
Tina Arnold1399,579,austinrivera@yahoo.com
Danielle Meyer9814,911,deborahjimenez@gmail.com
Sarah Ross6124,409,rebecca53@yahoo.com
Daniel Grant5318,986,lwallace@hotmail.com
Ryan Sawyer5002,992,daniel20@hotmail.com
Hailey Washington4139,650,denisemoore@hotmail.com
Alice Ward3279,917,dwolf@hotmail.com
Noah Lowery7319,202,cowanrebecca@hotmail.com
Debra Kerr6181,289,russell80@hotmail.com
Robert Downs876,625,jeremiah56@yahoo.com
Thomas Silva9836,809,matthewhenson@gmail.com
Manuel Villa7102,740,leslie19@gmail.com
Chelsea Miller217,413,ldavidson@gmail.com
Paula Sawyer561,655,chelseabryant@hotmail.com
Eric Farley1874,316,pamelahart@yahoo.com
Carolyn Thomas5317,261,dnguyen@yahoo.com
Jennifer Ramirez8526,400,alexandria89@yahoo.com
Kellie Patterson8524,235,elizabethtorres@yahoo.com
Savannah Richardson3708,673,erin79@gmail.com
Justin Porter1985,561,blake22@yahoo.com
Sandy Moody7901,818,parkerkathryn@yahoo.com
Sophia Cuevas3123,397,john22@yahoo.com
Timothy Williams784,887,brenda66@gmail.com
Carol Shelton2314,222,fjackson@yahoo.com
Christian Cordova2271,118,vfisher@yahoo.com
Renee Ray1943,147,jaredjohnson@gmail.com
James Martinez364,778,mcgeeleon@yahoo.com
Timothy Browning507,831,leeangela@hotmail.com
Andrea Price8796,671,karen29@gmail.com
Kevin Roberts3118,493,watsonmichael@hotmail.com
William Bailey3452,843,johntaylor@hotmail.com
Joseph Anderson2977,456,tracirobinson@yahoo.com
Holly Silva5413,703,shawn35@hotmail.com
Rebecca James7595,764,qscott@gmail.com
Joshua Ford9458,295,nelsontraci@gmail.com
Steven Brown6798,393,melissaball@yahoo.com
Jordan Jackson9818,131,sullivanmark@yahoo.com
Michelle Allen5480,729,martinjennifer@hotmail.com
Mark Mclean9970,869,roy49@yahoo.com
Marcia Rios7066,868,joanna70@yahoo.com
Willie Clark1362,378,stewarthoward@hotmail.com
Terrence Malone1209,809,lovejoseph@hotmail.com
Lisa Day320,435,caseyowens@yahoo.com
Juan Garcia4453,113,morganmelissa@hotmail.com
Dean Hansen2310,699,jordancharles@yahoo.com
Anna Martinez3850,416,jonathan71@gmail.com
Destiny Williamson5084,619,chadflores@hotmail.com
Brandon Davenport9425,522,lisalittle@gmail.com
Angela Castillo3175,166,erik35@hotmail.com
Bradley Frazier6333,330,johnsonmaria@gmail.com
Robert Lopez3152,826,alisonbell@gmail.com
Deborah Bennett2443,146,annehenry@gmail.com
Jessica Garrett2512,181,coxjuan@yahoo.com
Jose Haney3756,388,monicaalexander@gmail.com
Michael Owen2942,245,uwilliams@yahoo.com
Brian Hughes9318,268,frederickmiller@hotmail.com
Brian Brown5643,599,catherineharris@gmail.com
Eric Bird1998,897,davidmckinney@gmail.com
Angela Peters3463,307,landersen@hotmail.com
Derrick Matthews6045,402,reedemily@gmail.com
Jessica Brown9065,479,imoreno@hotmail.com
Richard Williams3257,744,brandonball@yahoo.com
David Wise4207,563,kellerapril@yahoo.com
James James5965,360,davidbrown@yahoo.com
Dr. Rebecca Mcclure7177,155,rodneymitchell@hotmail.com
Casey Martinez7519,316,david89@hotmail.com
Mark Fisher5925,108,psimpson@hotmail.com
Laura Berry1673,728,danielharris@yahoo.com
Melanie Yates9736,846,stucker@gmail.com
Marc Porter5821,331,imartinez@yahoo.com
Anthony Knapp772,597,benjamincruz@gmail.com
Lydia Mason1402,409,alison09@hotmail.com
Bradley Phelps6121,851,john94@gmail.com
Anthony Douglas3442,411,jessicaharris@gmail.com
Preston Liu3572,935,franciscomorgan@hotmail.com
Bradley Johnson3168,618,patriciaerickson@hotmail.com
Jean Burke6390,744,nancysmith@gmail.com
John Hall3544,766,pmurphy@yahoo.com
Julie Flores9472,633,terrelllaura@hotmail.com
Thomas Brown9599,285,luis94@yahoo.com
Charles Johnson5101,231,shepardleslie@hotmail.com
Bradley Johnson334,791,kevinbutler@gmail.com
Christopher Park815,761,rodneyhouston@yahoo.com
Christie Hayes7751,322,james83@yahoo.com
David Johnson2123,993,youngjoshua@hotmail.com
Vanessa Mitchell9951,454,leemichael@hotmail.com
Chad Drake1216,152,mcgeevanessa@hotmail.com
Anna Jackson8541,963,micheledavis@hotmail.com
Mrs. Lisa Bauer8260,805,flittle@hotmail.com
Brianna Knight8821,666,onichols@hotmail.com
Emily Gonzalez1562,160,stephenwiley@hotmail.com
Kevin Lang6070,997,jrogers@hotmail.com
Lisa Rodriguez8466,359,faulknerjuan@hotmail.com
Mitchell Young2539,398,rebeccaelliott@gmail.com
Dean Mccarthy8463,682,carolineschaefer@hotmail.com
Gregory Freeman6836,297,kathryncross@yahoo.com
Jordan Lopez7390,669,adamschristopher@yahoo.com
Elizabeth Gordon7391,179,joseph13@hotmail.com
Laura Juarez5929,927,gbradford@gmail.com
Tamara Reynolds6322,256,iaguilar@yahoo.com
Christian Gilbert2298,677,jamesavila@hotmail.com
Frank Smith2575,874,melissa47@gmail.com
Randy Green733,290,luke08@yahoo.com
Justin Jenkins8948,855,smithangela@yahoo.com
William Hines4428,954,cmcdonald@gmail.com
Lee Dudley5040,741,martinlisa@yahoo.com
Cameron Waller2196,780,jwilson@yahoo.com
Richard Snyder9233,105,josephwelch@gmail.com
Seth Stevens80,240,eharper@gmail.com
Daniel Howard3505,380,fbarrera@gmail.com
George Silva4750,960,williamsjennifer@hotmail.com
Melissa Davis4791,540,kwilliams@gmail.com
Bobby Potter1535,197,marcusevans@gmail.com
Doris Buchanan1754,765,morriskimberly@hotmail.com
Robert Ortiz6593,268,snydertracy@yahoo.com
Sabrina Richardson4461,974,dstevens@gmail.com
Sherry Stewart4485,563,uwilliams@gmail.com
David Tucker5692,327,debramoore@hotmail.com
Charles Ortiz8384,216,hpatterson@gmail.com
David Taylor5400,333,brandon20@gmail.com
Stacy Yates235,826,matthewerickson@hotmail.com
Richard Boyd4255,272,sophiahines@yahoo.com
Erin Wilkins4960,434,pruittchristina@yahoo.com
Kimberly Finley1051,521,ibaker@hotmail.com
Destiny Price7795,984,amyyork@yahoo.com
James Dunn6573,896,brandy27@hotmail.com
Craig Moran3178,936,ndavis@yahoo.com
Melissa Hernandez1242,857,wjimenez@yahoo.com
Stacey Miller3907,936,omarwells@yahoo.com
Brandon Snow3112,707,scastillo@hotmail.com
Kathryn Daniels1996,164,leematthew@hotmail.com
Tonya Smith5035,439,lgomez@hotmail.com
Mario Delacruz5668,867,becky93@yahoo.com
Chad Nicholson6801,593,laurenfoster@gmail.com
Rebecca Stanley1757,225,mcgeejennifer@hotmail.com
Carolyn Brown6,303,miguel10@hotmail.com
Michael Maldonado DDS7142,692,robinwoods@gmail.com
Nicholas Avery8860,333,chelsealambert@yahoo.com
Alice Garcia6807,281,judy20@yahoo.com
David Owen8214,517,dbrown@hotmail.com
Corey Perez8559,723,rebeccaschaefer@gmail.com
Matthew Hunt9568,326,lynchdana@yahoo.com
Raymond Gomez4446,150,tthompson@hotmail.com
Nathan Brown3874,802,sarahfreeman@yahoo.com
Elizabeth Lindsey2305,727,jacksonjames@yahoo.com
Jordan Richard1594,998,johnny95@hotmail.com
Michelle Spencer3683,362,andersonjessica@yahoo.com
Lisa Johnson3600,551,catherine18@gmail.com
Erica Cole7846,488,robert48@gmail.com
